src_tags	tgt_tags	distinct_tags
['vblex', 'subs']	['n', 'f', 'sg']	['subs', 'vblex', 'sg', 'f', 'n']
['adj', 'sint']	['adjant']	['adj', 'adjant', 'sint']
['np', 'cog', 'sg']	['np', 'cog', 'mf', 'sp']	['sg', 'sp', 'mf']
['np', 'top', 'sg']	['np', 'top', 'm', 'pl']	['sg', 'm', 'pl']
['np', 'top', 'sg']	['np', 'top', 'f', 'pl']	['sg', 'f', 'pl']
['np', 'top', 'pl']	['np', 'top', 'm', 'sg']	['sg', 'm', 'pl']
['np', 'top', 'sg']	['np', 'top', 'f', 'sg']	['f']
['np', 'org', 'sg']	['np', 'al', 'sg']	['al', 'org']
['np', 'al', 'sg']	['np', 'al', 'f', 'sg']	['f']
['np', 'al', 'sg']	['np', 'ant']	['ant', 'sg', 'al']
['np', 'al', 'sg']	['np', 'al', 'f', 'pl']	['sg', 'f', 'pl']
['np', 'org', 'sg']	['np', 'al', 'm', 'sg']	['al', 'm', 'org']
['np', 'org', 'pl']	['np', 'al', 'f', 'pl']	['f', 'al', 'org']
['np', 'al', 'sg']	['np', 'al', 'sg', 'f']	['f']
['det', 'ind']	['det', 'ind', 'GD']	['GD']
['det', 'ind', 'sg']	['det', 'ind', 'f', 'sg']	['f']
['det', 'qnt', 'pl']	['det', 'ind', 'f', 'pl']	['qnt', 'f', 'ind']
['det', 'qnt', 'sp']	['det', 'ind', 'mf', 'pl']	['qnt', 'sp', 'ind', 'pl', 'mf']
['det', 'qnt', 'sp']	['adj', 'mf', 'sp']	['det', 'qnt', 'adj', 'mf']
['det', 'ind']	['det', 'ind', 'mf']	['mf']
['det', 'ind', 'sp']	['det', 'ind', 'mf', 'pl']	['sp', 'mf', 'pl']
['det', 'qnt', 'pl']	['adj', 'GD', 'pl']	['det', 'qnt', 'adj', 'GD']
['det', 'qnt', 'sg']	['adj', 'GD', 'sg']	['det', 'qnt', 'adj', 'GD']
['det', 'ind']	['adj', 'ind', 'f']	['det', 'f', 'adj']
['det', 'qnt', 'pl']	['adj', 'ind', 'm', 'pl']	['det', 'qnt', 'adj', 'ind', 'm']
['det', 'qnt', 'pl']	['adj', 'mf', 'sp']	['det', 'qnt', 'adj', 'sp', 'pl', 'mf']
['det', 'pos', 'sp']	['det', 'pos', 'GD', 'ND']	['sp', 'ND', 'GD']
['det', 'itg', 'pl']	['adj', 'itg', 'f', 'pl']	['det', 'f', 'adj']
['det', 'itg', 'sg']	['adj', 'itg', 'f', 'sg']	['det', 'f', 'adj']
['adj', 'ord', 'sp']	['adj', 'GD', 'ND']	['sp', 'ND', 'ord', 'GD']
['det', 'qnt', 'sg']	['adj', 'mf', 'sp']	['det', 'qnt', 'adj', 'sp', 'sg', 'mf']
['det', 'qnt', 'sg']	['adj', 'ind', 'm', 'sg']	['det', 'qnt', 'adj', 'ind', 'm']
['det', 'qnt', 'sp']	['adj', 'GD', 'ND']	['det', 'qnt', 'sp', 'adj', 'ND', 'GD']
['det', 'ind', 'sp']	['det', 'ind', 'mf', 'sg']	['sp', 'sg', 'mf']
['det', 'ind', 'pl']	['det', 'ind', 'f', 'pl']	['f']
['det', 'ind', 'sp']	['det', 'ind', 'GD', 'ND']	['sp', 'ND', 'GD']
['det', 'qnt', 'sp']	['adj', 'f', 'pl']	['det', 'qnt', 'sp', 'adj', 'pl', 'f']
['det', 'qnt']	['adj', 'GD']	['det', 'qnt', 'adj', 'GD']
['det', 'qnt', 'pl']	['adj', 'f', 'pl']	['det', 'qnt', 'f', 'adj']
['det', 'qnt', 'sg']	['adj', 'f', 'sg']	['det', 'qnt', 'f', 'adj']
['det', 'qnt', 'sp']	['det', 'ind', 'f', 'pl']	['qnt', 'sp', 'ind', 'pl', 'f']
['det', 'qnt']	['det']	['qnt']
['det', 'ind', 'sp']	['adj', 'mf', 'pl']	['det', 'sp', 'adj', 'ind', 'pl', 'mf']
['det', 'ind', 'sg']	['adj', 'mf', 'sg']	['det', 'adj', 'ind', 'mf']
['det', 'dem']	['det', 'dem', 'GD']	['GD']
['det', 'def', 'sp']	['det', 'def', 'GD', 'ND']	['sp', 'ND', 'GD']
['det', 'itg', 'sp']	['adj', 'itg', 'GD', 'ND']	['det', 'sp', 'adj', 'ND', 'GD']
['prn', 'ind']	['det', 'ind']	['prn', 'det']
['det', 'itg', 'sp']	['adj']	['det', 'sp', 'itg', 'adj']
['det', 'itg']	['det', 'itg', 'mf']	['mf']
['prn', 'ind', 'mf']	['prn', 'tn', 'f']	['tn', 'f', 'ind', 'mf']
['prn', 'qnt', 'mf', 'sp']	['prn', 'tn', 'f', 'pl']	['qnt', 'sp', 'tn', 'pl', 'f', 'mf']
['prn', 'ind', 'mf', 'sg']	['prn', 'tn', 'GD', 'sg']	['tn', 'ind', 'mf', 'GD']
['prn', 'tn', 'mf', 'sg']	['prn', 'tn', 'f', 'sg']	['f', 'mf']
['prn', 'qnt', 'mf', 'sp']	['prn', 'tn', 'mf', 'sg']	['qnt', 'sp', 'sg', 'tn']
['prn', 'ind', 'mf', 'sg']	['prn', 'tn', 'mf', 'pl']	['sg', 'tn', 'ind', 'pl']
['prn', 'ind', 'mf', 'sg']	['prn', 'tn', 'mf', 'sg']	['tn', 'ind']
['prn', 'ind', 'mf', 'sg']	['prn', 'tn', 'm', 'sg']	['m', 'tn', 'ind', 'mf']
['prn', 'ind', 'mf']	['prn', 'tn', 'nt']	['tn', 'ind', 'mf', 'nt']
['prn', 'ind', 'mf', 'sg']	['prn', 'tn', 'nt']	['tn', 'ind', 'nt', 'sg', 'mf']
['prn', 'ind']	['prn', 'tn']	['tn', 'ind']
['prn', 'qnt', 'mf', 'sp']	['prn', 'tn', 'mf', 'ND']	['qnt', 'ND', 'sp', 'tn']
['prn', 'ind', 'mf']	['prn', 'tn', 'm']	['m', 'tn', 'ind', 'mf']
['prn', 'ind', 'mf', 'pl']	['prn', 'tn', 'f', 'pl']	['tn', 'f', 'ind', 'mf']
['prn', 'pos', 'p3', 'f']	['prn', 'pos', 'm']	['f', 'p3', 'm']
['prn', 'ref', 'p3', 'f', 'sg']	['prn', 'tn', 'p3', 'f', 'sg']	['ref', 'tn']
['prn', 'ref', 'p3', 'm', 'sg']	['prn', 'tn', 'p3', 'm', 'sg']	['ref', 'tn']
['prn', 'pos', 'p3']	['prn', 'pos']	['p3']
['prn', 'itg', 'mf', 'pl']	['prn', 'itg', 'f', 'pl']	['f', 'mf']
['prn', 'itg', 'mf', 'sg']	['prn', 'itg', 'f', 'sg']	['f', 'mf']
['prn', 'ref', 'p3', 'nt', 'sg']	['prn', 'tn', 'p3', 'GD', 'sg']	['ref', 'tn', 'GD', 'nt']
['prn', 'pos', 'p1', 'mf', 'sg']	['prn', 'pos', 'GD', 'ND']	['ND', 'p1', 'sg', 'mf', 'GD']
['prn', 'pos', 'p1']	['prn', 'pos']	['p1']
